ZipCode,City,State,MedianIncome,MedianIncomeRank,CostOfLivingIndex,CostOfLivingRank,MedianMortgageToIncomeRatio,MedianMortgageToIncomeRank,OwnerOccupiedHomesPercent,OwnerOccupiedHomesRank,MedianRoomsInHome,MedianRoomsInHomeRank,CollegeDegreePercent,CollegeDegreeRank,ProfessionalPercent,ProfessionalRank,Population,PopulationRank,AverageHouseholdSize,AverageHouseholdSizeRank,MedianAge,MedianAgeRank,MaleToFemaleRatio,MaleToFemaleRank,MarriedPercent,MarriedRank,DivorcedPercent,DivorcedRank,WhitePercent,WhiteRank,BlackPercent,BlackRank,AsianPercent,AsianRank,HispanicEthnicityPercent,HispanicEthnicityRank
98382,Sequim,WA,37392,46,160.2,78,24.3,85,79.3,59,5.4,46,25.4,74,31.2,63,21647,76,2.2,7,53.6,99,86.1,19,66.7,82,10,60,93.2,61,0,3,1.4,72,2,50
98591,Toledo,WA,37474,46,132.2,68,23.7,81,79.2,58,5.8,70,11.4,29,25.3,37,3101,24,2.7,64,38.8,68,92,49,63.7,65,11.1,74,94.2,64,0.2,24,0.1,25,3,59
98858,Waterville,WA,37679,46,99.5,49,23.5,80,76.8,49,6,78,19.1,61,36.1,76,1658,5,2.6,47,40.6,82,96.1,70,66.8,83,9.2,47,90.2,52,0,2,0.4,44,6.5,75
98363,Port Angeles,WA,37791,47,134.5,69,23.9,83,72.3,35,5.3,36,17.3,55,27.6,49,12252,61,2.4,25,39.9,77,91.3,45,59.3,39,12.9,89,86.9,45,0.1,17,1,65,2.9,59
98626,Kelso,WA,37760,47,126.4,65,22.2,65,67,23,5.4,42,12.4,34,22.4,23,22623,78,2.6,59,35,28,97.2,74,60.2,44,12.1,84,89.9,51,0.4,31,0.6,55,4.4,68
98672,White Salmon,WA,37769,47,156.4,77,25.8,92,69.1,27,5.3,35,19.5,62,31.3,63,5149,39,2.5,37,39.2,72,97.7,76,66.3,81,10,60,82.7,38,0.1,17,0.2,32,11.6,83
98368,Port Townsend,WA,38100,48,178.5,83,25.5,91,70.6,30,5.2,28,34.9,85,35.6,75,12736,62,2.1,3,47.4,97,87.7,26,56.2,26,17,99,92.2,58,0.3,28,1.2,69,1.9,49
98408,Tacoma,WA,38030,48,113.7,59,24.9,89,66.3,22,5.3,34,11.5,29,22.3,22,29121,85,2.6,60,34.1,21,92.4,51,51.6,15,14.8,96,65.9,21,10.3,77,7,94,6.9,76
98632,Longview,WA,38195,48,139.5,71,21.7,59,63.1,18,5.4,42,14.7,45,24.7,34,47215,96,2.5,46,36.8,46,92,49,57.7,32,13,90,88.5,48,0.5,34,2.1,79,5,70
98108,Seattle,WA,38413,49,192,85,26.5,95,55.8,11,4.8,10,17.8,57,22.8,25,21376,76,3,90,34.6,25,102.8,89,49.8,12,9.7,54,22.5,4,14.2,81,41.7,99,12.3,84
98261,Lopez Island,WA,38594,49,300.7,95,27.6,96,79,57,4.8,11,47.3,93,42.6,86,2304,15,2,1,48.9,98,96,69,66.5,82,9.6,54,92.7,59,0,3,0.2,31,5.5,72
98584,Shelton,WA,38543,49,124.6,64,23.8,82,75.8,45,5.3,37,14.7,45,25.8,40,31065,87,2.7,72,38,59,106.4,93,56.3,27,13.5,92,83.3,39,1.5,50,0.8,62,5.8,73
98938,Outlook,WA,38700,50,118.4,61,20.7,45,70.1,29,6.1,81,11.4,29,23.7,29,2143,13,3.3,95,29.7,6,115,96,59.9,42,4.4,2,42.5,10,0,0,0,0,56.6,97
98546,Grapeview,WA,39331,51,184.8,84,25.7,92,84.4,79,5.2,32,17.3,55,30.9,62,2164,13,2.4,18,46.5,97,98.4,78,69.3,92,9.6,54,93.9,63,0.3,28,1.1,68,0.7,24
98596,Winlock,WA,39179,51,137.8,70,23.8,82,79.9,61,5.6,59,9.9,21,20.7,15,6589,46,2.7,67,38.1,60,99,80,63.8,66,8.6,38,92,57,0,2,0.5,49,5.1,71
98663,Vancouver,WA,39022,51,146.6,73,24.5,87,58.4,13,5.2,26,20.5,64,28.2,51,13969,64,2.4,25,36.4,42,95.5,67,48.7,10,18.3,99,85.5,42,2.5,57,0.6,56,6.2,74
98532,Chehalis,WA,39614,52,142.4,72,23.3,78,71.5,33,5.7,62,16.3,52,26.8,45,20040,74,2.6,58,36.5,43,94.8,63,62.6,58,9.9,58,91.6,55,0.6,37,0.4,47,4.4,68
99006,Deer Park,WA,39663,52,122.9,63,24.6,87,81.2,66,5.5,53,12.9,36,24.2,32,9028,53,2.8,78,37.5,54,94.8,63,66.6,82,8.7,40,95.6,71,0,5,0,1,1.3,38
99011,Deer Park,WA,39663,52,122.9,63,24.6,87,81.2,66,5.5,53,12.9,36,24.2,32,9028,53,2.8,78,37.5,54,94.8,63,66.6,82,8.7,40,95.6,71,0,5,0,1,1.3,38
99016,Deer Park,WA,39663,52,122.9,63,24.6,87,81.2,66,5.5,53,12.9,36,24.2,32,9028,53,2.8,78,37.5,54,94.8,63,66.6,82,8.7,40,95.6,71,0,5,0,1,1.3,38
